湖 南（955座）


序号 宫观名称 地址 派别

90 六一阁 湖南省常德市桃源县九溪乡六一村 正一

91 丰和殿 湖南省常德市桃源县漳江镇丰和村 正一

92 水口山庙 湖南省常德市桃源县枫树乡白洋河村 正一

93 龙王庙 湖南省常德市桃源县架桥乡架桥村 正一

94 太红山庙 湖南省常德市三阳镇土黄坪村 正一

95 灵官庙 湖南省常德市桃源县漳江镇万寿桥村 正一

96 飞凤仙山庙  湖南省常德市桃源县三阳镇白岩寺村 正一

97 五冠山庙 湖南省常德市桃源县理公港镇狮子坪村 正一

98 太祖山庙 湖南省常德市桃源县陬市镇神仙桥村 正一

99 栎林仙山庙 湖南省常德市桃源县马鬃岭镇大路坪村 正一

100 柳山庙 湖南省常德市桃源县马鬃岭镇吉安湾村  正一

101 桃源县布一玄坛 湖南省常德市桃源县佘家坪乡东岳殿村 正一

102 金凤山庙 湖南省常德市桃源县漆河镇黄凤坪村 正一

103 石眼古庙 湖南省常德市桃源县盘塘镇长青村 正一

104 仙山庙 湖南省常德市桃源县枫树乡牛场坡村 正一

105 白岩寺  湖南省常德市桃源县三阳镇白岩寺村 正一

106 灵应庙 湖南省常德市桃源县漆河镇丰火溶村 正一

107 飞龙山庙 湖南省常德市桃源县浯溪河乡飞龙山村 正一

108 杜松岗庙 湖南省常德市桃源县盘塘镇 正一

109 明月山庙 湖南省常德市桃源县浯溪河乡明月山村 正一

110 枫林寺庙 湖南省常德市桃源县浯溪河乡飞龙山村 正一

111 大理山庙 湖南省常德市桃源县佘家坪乡大理山村 正一

112 东岳殿 湖南省常德市桃源县佘家坪乡东岳殿村 正一

113 真武庙 湖南省常德市桃源县理公港镇牌楼寺村 正一

114 枞桂山庙 湖南省常德市桃源县三阳港镇三阳港村 正一

115 金凤山庙 湖南省常德市桃源县太平桥乡金凤山村 正一

116 朝阳山庙 湖南省常德市桃源县理公港镇观音垭村 正一

117 太和观 湖南省常德市河洑森林公园内 全真

118 老君观 湖南省郴州市安仁县安平镇石门村 正一

119 城隍庙 湖南省郴州市安仁县城关镇东郊村 正一

120 三母殿 湖南省郴州市安仁县灵官镇南坪村 正一

121 社公仙 湖南省郴州市安仁县关王镇杞林村 正一

122 石头仙 湖南省郴州市安仁县灵官镇算背村 正一

123 石水灵宫 湖南省郴州市安二县清溪镇青路村  正一

124 西岩仙 湖南省郴州市安二县新洲乡井塘村 正一

125 月光仙 湖南省郴州市安二县竹山乡 正一

126 盘古仙 湖南省郴州市安仁县羊脑乡广义村 正一

127 灵官庙 湖南省郴州市安仁县灵官镇官桥组 正一

128 阳升观 湖南省郴州市安仁县禾市乡白沙村 正一

129 三清宫 湖南省郴州市安仁县竹山乡何叶组 正一

130 三圣殿 湖南省郴州市安仁县灵官镇古塘村 正一

131 清泉观 湖南省郴州市安仁县灵官镇算背村 正一

132 六母仙 湖南省郴州市安仁县羊脑乡中洞村 正一

133 陈子莫观 湖南省郴州市安仁县渡口乡双江村 正一

134 龙凤殿 湖南省郴州市安仁县渡口乡渡口村 正一

135 金紫仙观 湖南省郴州市安仁县豪山乡金花村 正一

136 鸿庙 湖南省郴州市北湖区月峰乡月峰村鸿庙 正一

137 白云仙 湖南省郴州市汝城县小垣镇大塘村 正一

138 回龙仙 湖南省郴州市汝城县岭秀瑶族乡塘茶村 正一

139 会仙庵 湖南省郴州市苏仙区白露塘镇塘湾村 正一

140 景星观 湖南省郴州苏仙区苏仙岭风景区 正一

141 坛皇庙 湖南省郴州市宜章县梅田镇梅田村五组 正一

142 关帝庙 湖南省郴州市宜章县梅田镇车头村七组 正一

143 包公庙 湖南省郴州市宜章县栗源镇四合村 正一

144 武陵侯祠 湖南省郴州市宜章县浆水乡浆水村石虎山 正一

145 县城隍庙 湖南省郴州市永兴县便江镇城郊村 全真

146 三侯祠 湖南省郴州市永兴县塘门口镇西河村 正一

147 七郎庙 湖南省郴州市永兴县太和镇七郎村 正一

148 华鑫宫 湖南省郴州市永兴县便江镇城区 正一

149 忠靖庙 湖南省郴州市永兴县便江镇白头狮村 正一

150 李王庙 湖南省郴州市永兴县湘阴渡镇桥头村  正一

151 关王庙 湖南省郴州市永兴县塘门口镇关王村 正一

152 唐公庙 湖南省郴州市永兴县金龟镇唐公村 正一

153 辖神庙 湖南省郴州市永兴县鲤鱼塘镇矮塘村 正一

154 观音堂 湖南省郴州市资兴市东江湖兜率岛  正一

155 龙王庙 湖南省郴州市资兴市黄草镇羊兴村 正一

156 盟山峰 湖南省衡阳市常宁市烟洲镇新民村 全真

157 衡东草市灵山庙 湖南省衡阳市衡东县草市镇灵山居委会 正一

158 黄石庙 湖南省衡阳市衡山县岭坡乡潮水村 全真

159 聚湖庵 湖南省衡阳市衡阳县金兰镇新田村 正一

160 迥凤庵 湖南省衡阳市衡阳县金溪镇横江村塘湾组 正一

161 长安观 湖南省衡阳市衡阳县长安乡长安村  正一

162 天狮岭 湖南省衡阳市衡阳县洪市镇礼梓村 正一

163 通天观 湖南省衡阳市衡阳县集兵镇通天村 正一

164 紫云庵 湖南省衡阳市衡阳县金兰镇金兰村付家组 正一

165 木淋庵 湖南省衡阳市衡阳县渣江镇木淋村胡大屋组 正一

166 金华庵 湖南省衡阳市衡阳县库宗桥镇金华村 正一

167 大圆庵 湖南省衡阳市衡阳县洪市镇盘谷村  正一

168 樟公圣殿 湖南省衡阳市衡阳县杉桥镇石元村 正一

169 五娘观 湖南省衡阳市耒阳市蔡子池沙头村8组 全真

170 金宝观 湖南省衡阳市耒阳市太坪乡金宝村2组 全真

171 紫云观 湖南省衡阳市耒阳市龙塘镇龙塘村4组 全真

172 神龙殿 湖南省衡阳市耒阳市竹市镇大成村6组 全真

173 观音观 湖南省衡阳市耒阳市竹市东塘村6、7组 全真

174 城隍庙 湖南省衡阳市耒阳市蔡子池街道办事处樟皇岭 全真

175 黄庭观 湖南省衡阳市南岳区南岳镇白龙村集贤峰下 全真

176 玄都观 湖南省衡阳市南岳区南岳镇延寿村 全真

177 大庙道教组 湖南省衡阳市南岳区南岳大庙 全真

178 紫竹林 湖南省衡阳市南岳区半山亭 全真

179 祖师殿 湖南省衡阳市南岳区延寿村北斗岭 全真

180 朱陵宫 湖南省衡阳市南岳区水帘洞 全真

181 天符殿 湖南省衡阳市南岳区古镇吉祥街 全真

182 杳湖山 湖南省衡阳市祁东县步云桥镇内 正一

183 金龙宫 湖南省衡阳市祁东县步云桥镇内 正一

184 朝天庵 湖南省衡阳市祁东县官家嘴镇内 正一

185 赤松观 湖南省衡阳市蒸湘区雨母山乡 全真

186 东岳观 湖南省衡阳市珠晖区湘江东路 全真

187 八仙阁 湖南省怀化市辰溪县仙人湾乡泡潭村三组 正一

188 大酉观 湖南省怀化市辰溪县辰阳镇铜湾溪村二组 正一

189 城隍庙 湖南省怀化市辰溪县辰阳镇奎星阁社区一组 正一

190 万寿宫 湖南省怀化市辰溪县潭湾镇三塘村二组 正一

191 祺云观 湖南省怀化市辰溪县石碧乡三向冲水库 正一

192 正天宫 湖南省怀化市鹤城区盈口乡榆树11组 正一

193 玉皇宫 湖南省怀化市鹤城区盈口乡炉天冲村2组 正一

194 青云观 湖南省怀化市洪江区常青乡五一村独岩背组 正一

195 灵官殿 湖南省怀化市洪江区常青乡新桥居委会渔梁湾 正一

196 飞山庙 湖南省怀化市洪江区桂花园乡楠木田村长寨 正一

197 密云观 湖南省怀化市洪江区桂花园乡川山村袁家盘组 正一

198 地母宫 湖南省怀化市洪江区常青乡新桥居委会二凉亭 正一

199 南岳宫 湖南省怀化市会同县林城镇步云村五组 正一

200 杨公庙 湖南省怀化市会同县林城镇棕李村六组 正一

201 玉皇宫 湖南省怀化市会同县林城镇棕李村五组 正一

202 回龙宫 湖南省怀化市会同县堡子镇坪见村三组 正一

203 南岳宫 湖南省怀化市会同县堡子镇上坊村十二组 正一

204 三星宫 湖南省怀化市会同县堡子镇新店村五组 正一

205 靛香宫 湖南省怀化市会同县坪村镇高村村六组 正一

206 宁丁宫 湖南省怀化市会同县青朗侗族苗族乡青朗村一 正一

207 玉皇宫 湖南省怀化市会同县朗江镇枫木村三组 正一

208 双鳞宝殿 湖南省怀化市会同县宝田侗族苗族乡苗寨村一 正一

209 金水龙宫 湖南省怀化市会同县金龙乡岩脚村一组 正一

210 三清宫 湖南省怀化市会同县黄茅乡长田村一组 正一

211 飞山庙 湖南省怀化市会同县黄茅乡黄茅团村四组 正一

212 玉皇宫 湖南省怀化市会同县黄茅乡长田村三组 正一

213 水口庵 湖南省怀化市会同县黄茅乡翁勺村一组 正一

214 莲花庵 湖南省怀化市会同县团河镇燕冲村三组 正一

215 中华寺 湖南省怀化市会同县若水镇孟团村六组 正一

216 飞山庙 湖南省怀化市会同县若水镇零星村二组 正一

217 玉皇宫 湖南省怀化市会同县团河镇卫东村一组 正一

218 万寿庵 湖南省怀化市会同县若水镇瓦窑村五组 正一

219 回龙庵 湖南省怀化市会同县团河镇盛诸村五组 正一

220 棋盘宫 湖南省怀化市会同县团河镇楠木村二组 正一

221 栗山宫 湖南省怀化市会同县王家坪乡胜利村一组 正一

222 东岳宫 湖南省怀化市会同县岩头乡东岳村三组 正一

223 白棵宫 湖南省怀化市会同县广坪镇杨家渡村一组 正一

224 回龙宫 湖南省怀化市会同县广坪镇吉朗村一组 正一

225 水口龙宫 湖南省怀化市会同县马鞍镇黄土村一组 正一

226 接龙宫 湖南省怀化市会同县马安镇闹溪村一组 正一

227 太和宫 湖南省怀化市会同县炮团侗族苗族乡炮团村一 正一

228 福寿宫 湖南省怀化市会同县炮团侗族苗族乡主山冲村 正一

229 泰庵宫 湖南省怀化市会同县炮团侗族苗族乡炮团村一 正一

230 广新宫 湖南省怀化市会同县炮团侗族苗族乡岩头坪村 正一

231 乡紫云宫 湖南省怀化市会同县连山乡高团村一组 正一

232 明道宫 湖南省怀化市会同县广坪镇吉朗村一组 正一

233 明月宫 湖南省怀化市会同县高椅乡瓮江村一组 正一

234 飞山庙 湖南省怀化市会同县若水镇里龙村一组 正一

235 飞山庙 湖南省怀化市会同县若水镇檀木村一组 正一

236 朝阳宫 湖南省怀化市会同县沙溪乡洛阳村一组 正一

237 罗兴宫 湖南省怀化市会同县高椅乡高椅村一组 正一

238 东新宫 湖南省怀化市会同县洒溪乡坪寨村一组 正一

239 玉皇宫 湖南省怀化市会同县洒溪乡民主村一组 正一

240 东岳宫 湖南省怀化市会同县洒溪乡排子村三组 正一

241 关圣宫 湖南省怀化市靖州县新厂镇善里村4组 正一

242 玉皇殿 湖南省怀化市靖州县甘棠镇甘棠村3组 正一

243 西村观 湖南省怀化市靖州县文溪乡西村村2组 正一

244 玉皇阁 湖南省怀化市靖州县飞山管委会城郊村北门湾 正一

245 南岳殿 湖南省怀化市靖州县渠阳管委会江东社区五峰. 正一

246 天王庙 湖南省怀化市麻阳苗族自治县隆家堡乡隆家堡 正一

247 天王庙 湖南省怀化市麻阳苗族自治县石羊哨乡新田村 正一

248 城隍庙 湖南省怀化市麻阳苗族自治县锦和镇西街 正一

249 天王庙 湖南省怀化市麻阳苗族自治县锦和镇锦州村 正一

250 天王庙 湖南省怀化市麻阳苗族自治县尧市乡小江村 正一

251 天王庙 湖南省怀化市麻阳苗族自治县郭公坪乡成家坡 正一

252 凤灵神殿 湖南省怀化市麻阳苗族自治县栗坪乡仓屋村 正一

253 盘瓠庙 湖南省怀化市麻阳苗族自治县兰里镇新营村 正一

254 盘瓠庙 湖南省怀化市麻阳苗族自治县兰里镇岩寨村 正一

255 伏波庙 湖南省怀化市麻阳苗族自治县吕家坪镇溪口村 正一

256 城隍庙 湖南省怀化市麻阳苗族自治县吕家坪村太平溪 正一

257 玉皇阁 湖南省怀化市麻阳苗族自治县高村镇大塘村三 正一

258 二王殿 湖南省怀化市麻阳苗族自治县高村镇高垅社区 正一

259 天王庙 湖南省怀化市麻阳苗族自治县高村镇学里社区 正一

260 南岳庙 湖南省怀化市麻阳苗族自治县高村镇通灵溪村 正一

261 天王庙 湖南省怀化市苗族自治县岩门镇江家溪村 正一

262 天王庙 湖南省怀化市麻阳苗族自治县江口墟镇江口墟. 正一

263 天王庙 湖南省怀化市麻阳苗族自治县吕家坪镇向阳村 正一

264 东岳庙 湖南省怀化市麻阳苗族自治县吕家坪镇桐木村 正一

265 龙公庙 湖南省怀化市麻阳苗族自治县吕家坪镇木江溪 正一

266 玉隍殿 湖南省怀化市麻阳苗族自治县吕家坪镇木江溪 正一

