浙江（上）


序号   宫观名称   地址   派别
80 城东街道新塘杨府庙 浙江省温州市乐清市城东街道新塘村 正一

81 北白象镇白象老庙 浙江省温州市乐清市北白象镇象塔南路57号 正一

82 北白象镇巉头华光庙 浙江省温州市乐清市北白象镇巉头村 正一

83 北白象镇磐东太阴宫 浙江省温州市乐清市北白象镇磐东村 全真

84 北白象镇磐石北门包公殿 浙江省温州市乐清市北白象镇磐石北门村 正一

85 北白象镇三重炉杨府庙 浙江省温州市乐清市北白象镇三重炉村 正一

86 城东街道东山南陈府庙 浙江省温州市乐清市城东街道东山南村 正一

87 城东街道后所城隍庙 浙江省温州市乐清市城东街道后所村 正一

88 城东街道后所芝嶂道观 浙江省温州市乐清市城东街道后所村 正一

89 城东街道蛎灰窑胡公庙 浙江省温州市乐清市城东街道蛎灰窑村 正一

90 城南街道南岸长水山临仙观 浙江省温州市乐清市城南街道南岸村 全真

91 城南街道南岸福山道观 浙江省温州市乐清市城南街道南岸村 全真

92 城南街道南草垟陈府庙 浙江省温州市乐清市城南街道南草垟村 正一

93 大荆镇白岩潭杨府庙 浙江省温州市乐清市大荆镇双峰村 正一

94 大荆镇城隍庙 浙江省温州市乐清市大荆镇荆山脚 正一

95 大荆镇大井头三宫庙 浙江省温州市乐清市大荆镇大井头村 正一

96 城东街道坝头杨府庙 浙江省温州市乐清市城东街道坝头村 正一

97 城东街道白沙白马观 浙江省温州市乐清市城东街道白沙村 正一

98 城东街道白沙岭头胡公庙 浙江省温州市乐清市城东街道新下塘村白沙岭 正一

99 城东街道白沙天后宫 浙江省温州市乐清市城东街道白沙村 正一

100 北白象镇大港砻山庙 浙江省温州市乐清市北白象镇大港村 正一

101 北白象镇莲池头昆山圣庙 浙江省温州市乐清市北白象镇连池头村昆山 正一

102 北白象镇马路角延生庙 浙江省温州市乐清市北白象镇马路角村 正一

103 大荆镇隔溪大路庙 浙江省温州市乐清市大荆镇隔溪村 正一

104 大荆镇湖雾羊角洞玉蟾宫 浙江省温州市乐清市大荆镇湖雾羊角洞 全真

105 大荆镇湖雾羊角洞玉青宫 浙江省温州市乐清市大荆镇湖雾羊角洞 全真

106 白石街道上陈玉麟宫 浙江省温州市乐清市白石街道上陈村 正一

107 白石街道下印宫 浙江省温州市乐清市白石街道下印村 正一

108 白石街道中雁白龙洞 浙江省温州市乐清市白石街道中雁 全真

109 白石街道中雁玉虹洞 浙江省温州市乐清市白石街道中雁村 全真

110 北白象镇白塔王象峰祖庙 浙江省温州市乐清市北白象镇白塔王村 正一

111 北白象镇杜岙名山祖庙 浙江省温州市乐清市北白象镇杜岙村 正一

112 北白象镇磐石北门凌云道观 浙江省温州市乐清市北白象镇磐石北门村 全真

113 北白象镇磐西城隍庙 浙江省温州市乐清市北白象镇磐西村 正一

114 北白象镇前五宅郭氏侯王庙 浙江省温州市乐清市北白象镇前五宅村 正一

115 北白象镇前五宅郭氏侯王庙 浙江省温州市乐清市北白象镇前五宅村 正一

116

北白象镇桥下天师道观 浙江省温州市乐清市北白象镇桥下村 正一

117 北白象镇下庠太清宫 浙江省温州市乐清市北白象镇下庠村 正一

118 北白象镇山东杨府殿 浙江省温州市乐清市北白象镇山东村 正一

119 北白象镇沈岙太阴宫 浙江省温州市乐清市北白象镇沈岙村 正一

120 北白象镇西岑永乐宫 浙江省温州市乐清市北白象镇西岑村 正一

121 北白象镇下安九社长青宫 浙江省温州市乐清市北白象镇下安村 正一

122 淡溪镇西林大头殿 浙江省温州市乐清市淡溪镇西林村 正一

123 淡溪镇西山黑虎殿 浙江省温州市乐清市淡溪镇西山村 正一

124 淡溪镇峃车白龙宫 浙江省温州市乐清市淡溪镇峃车村 全真

125 淡溪镇峃车车姜庙 浙江省温州市乐清市淡溪镇峃车村 正一

126 淡溪镇樟岙五龙观 浙江省温州市乐清市淡溪镇樟岙村 全真

127 芙蓉镇白岩龙岩道院 浙江省温州市乐清市芙蓉镇白岩村 全真

128 芙蓉镇包宅真人殿 浙江省温州市乐清市芙蓉镇包宅村 正一

129 芙蓉镇丹灶里镇丰殿 浙江省温州市乐清市芙蓉镇丹灶里村 正一

130 芙蓉镇山外坦杨府殿 浙江省温州市乐清市芙蓉镇上街村 正一

131 白石街道东浃集云道观 浙江省温州市乐清市白石街道东浃村 全真

132 大荆镇上定头大岙腰庙 浙江省温州市乐清市大荆镇上定头村 正一

133 大荆镇水涨东岭庙 浙江省温州市乐清市大荆镇舟山头村 正一

134 大荆镇水涨东岳庙 浙江省温州市乐清市大荆镇蒲湾村 正一

135 大荆镇台头三官堂 浙江省温州市乐清市大荆镇台头村 全真

136 大荆镇天后宫 浙江省温州市乐清市大荆镇 正一

137 淡溪镇五台山三清观 浙江省温州市乐清市淡溪镇佐坑村 全真

138 白石街道岐元仙源道观 浙江省温州市乐清市白石街道岐元村 全真

139 白石街道上陈赤伍庙 浙江省温州市乐清市白石街道上陈村 正一

140 北白象镇高岙太阴宫 浙江省温州市乐清市北白象镇高岙村 正一

141 北白象镇孤屿山仙人岩道院 浙江省温州市乐清市北白象镇孤屿山 全真

142 北白象镇琯头忠烈庙 浙江省温州市乐清市北白象镇琯头村 正一

143 芙蓉镇上垟龙仙庙 浙江省温州市乐清市芙蓉镇上垟村 正一

144 芙蓉镇梯云谷道观 浙江省温州市乐清市芙蓉镇长徼村 全真

145 芙蓉镇下蔡周庙 浙江省温州市乐清市芙蓉镇海口村 正一

146 芙蓉镇下湾白马殿 浙江省温州市乐清市芙蓉镇下湾村 正一

147 芙蓉镇下湾庄外山殿 浙江省温州市乐清市芙蓉镇下湾村 正一

148 芙蓉镇泽基张庄月像道观 浙江省温州市乐清市芙蓉镇泽基村张庄 全真

149 芙蓉镇紫清观（天后宫） 浙江省温州市乐清市芙蓉镇工业区 全真

150 虹桥镇白龙山崇顶道观 浙江省温州市乐清市虹桥镇白龙山 全真

151 虹桥镇白龙山青云观 浙江省温州市乐清市虹桥镇白龙山 全真

152 虹桥镇长山下桥杨府殿 浙江省温州市乐清市虹桥镇长山村下桥 全真

153 虹桥镇大乌石紫林观 浙江省温州市乐清市虹桥镇大乌石村 全真

154 虹桥镇连桥头显应殿 浙江省温州市乐清市虹桥镇连桥村 正一

155 虹桥镇龙盘山胡公殿 浙江省温州市乐清市虹桥镇龙盘山 全真

156 虹桥镇龙坦斜光庙 浙江省温州市乐清市虹桥镇龙坦村 正一

157 乐清市虹桥镇龙泽白鹤殿 浙江省温州市乐清市虹桥镇龙泽村 正一

158 虹桥镇娄岙青龙宫 浙江省温州市乐清市虹桥镇娄岙村 全真

159 石帆街道岭头双峰道观 浙江省温州市乐清市石帆街道岭头村 全真

160 石帆街道朴湖三施王庙 浙江省温州市乐清市石帆街道朴湖三村 正一

161 石帆街道霞雪西尧观 浙江省温州市乐清市石帆街道霞雪村 全真

