广 东（218所）
序号   宫观名称      地址        派别
82 广东省江门市新会紫云观 广东省江门市新会区会城紫云路68号 全真

83 北极古庙 广东省揭阳市惠来县隆江镇见龙村 全真

84 东仙观 广东省揭阳市惠来县神泉镇溪东村 全真

85 进德观 广东省揭阳市惠来县神泉镇澳角村 全真

86 龙藏洞赤松观 广东省揭阳市惠来县惠城镇毕田村 全真

87 清山岩 广东省揭阳市惠来县神泉镇芦园村 全真

88 三清阁 广东省揭阳市惠来县惠城梅二西坛顶 全真

89 太华宫 广东省揭阳市惠来县惠城镇英内社区北门外十 全真

90 玉皇宫 广东省揭阳市惠来县神泉镇蔗埔村 全真

91 玉清宫 广东省揭阳市揭东区锡场镇藤吊岭南 全真

92 揭阳空港经济区道教清修阁 广东省揭阳市空港经济区凤美办事处全美村 全真

93 天道观 广东省揭阳市空港区溪南办事处西寨村 全真

94 明善观 广东省揭阳市普宁市军埠镇何厝围村 全真

95 七星洞 广东省揭阳市普宁市高埔镇南屏岭 全真

96 三王古庙 广东省揭阳市普宁市流沙西街道白沙陇村 正一

97 善德观 广东省揭阳市普宁市流沙军埠镇笔架山罗陵肚 正一

98 秀龙古观 广东省揭阳市普宁市流沙镇东街道秀陇村 正一

99 紫云洞 广东省揭阳市普宁市大南山街道摩天石 全真

100 揭阳市华阳观 广东省揭阳市榕城区仙桥街道办事处高湖村 全真

101 揭阳市区北极古庙 广东省揭阳市榕城区北门武爷前横街14号 全真

102 揭阳市区道教娘宫观 广东省揭阳市榕城区东门直街 全真

103 揭阳市榕城区道教通玄观 广东省揭阳市榕城区仙桥街道办事处顶六村 全真

104 白庙 广东省茂名市电白区旦场镇青福村委会覃美村 正一

105 陈罗古庙 广东省茂名市电白区水东镇陈罗巷、陈罗坊 正一

106 大王古宫 广东省茂名市电白区水东镇附城盐灶村 正一

107 大衙福德庙 广东省茂名市电白区林头镇大衙西坑 全真

108 登楼天后宫 广东省茂名市电白区树仔镇登楼村 全真

109 福普庙 广东省茂名市电白区小良镇小良村 正一

110 三尊庙 广东省茂名市电白区坡心镇上吴村委 正一

111 圣仙庙 广东省茂名市电白区羊角镇共同村委田心村 正一

112 盛宁庙 广东省茂名市电白区旦场镇霞楼村村南面 正一

113 水福庙 广东省茂名市电白区沙院镇福兴村委 正一

114 水福庙 广东省茂名市电白区沙院镇福兴村委 正一

115 文武帝宫 广东省茂名市电白区羊角镇新城村委乌石岭 正一

116 仙姑庙 广东省茂名市电白区树仔镇下海尾村 正一

117 晏镜古庙 广东省茂名市电白区南海街道办晏镜村 正一

118 雨公山道院 广东省茂名市电白区七迳镇尼乔村委雨公岭 正一

119 真人古庙 广东省茂名市电白区七迳镇那楼村委田心村 正一

120 大王庙 广东省茂名市高州市石鼓镇石鼓岭 全真

121 飞龙山大庙 广东省茂名市高州市大坡镇大榕村飞龙山 全真

122 宫皇庙 广东省茂名市高州市石鼓镇南茂坡村 全真

123 潘仙观 广东省茂名市高州市小观山26号 全真

124 平云古庙 广东省茂名市高州市大坡镇平云山 全真

125 三仙庙 广东省茂名市高州市根子镇望楼岭 全真

126 玉皇庙 广东省茂名市高州市分界博位村 全真

127 竹坑文武庙 广东省茂名市高州市曹江镇凰村竹坑队 全真

128 北府宫 广东省茂名市化州市河西街道办第六社区居委 正一

129 东庆堂 广东省茂名市化州市东山街道办第三居委会大 正一

130 东岳楼 广东省茂名市化州市平定镇平定圩 正一

131 合江福田庙 广东省茂名市化州市合江镇塘口村委会 正一

132 南盛大庙 广东省茂名市化州市南盛街道办南盛圩 正一

133 七仙宫 广东省茂名市化州市河西街道办第六社区居委 正一

134 天帝庙 广东省茂名市化州市合江镇北岸嘴村委会塘秦. 正一

135 文楼坡大庙 广东省茂名市化州市文楼镇文楼村委会大庙边 正一

136 武帝庙 广东省茂名市化州市平定镇平定圩 正一

137 合水社大庙 广东省茂名市茂南区新坡镇合水管理区果子园 正一

138 龙岭玉皇庙 广东省茂名市茂南区高山镇龙岭村 正一

139 罗冼庙 广东省茂名市茂南区镇盛镇那梭村 正一

140 三帝宫 广东省茂名市茂南区金塘镇文村 正一

141 三帝庙 广东省茂名市茂南区袂花镇袂花圩 正一

142 四帝古庙 广东省茂名市茂南区公馆镇荔枝塘村 正一

143 文武帝侯王庙 广东省茂名市茂南区公馆镇油甘窝村 正一

144 白坡文昌庙 广东省茂名市信宜市东镇街道白坡村 正一

145 横岗山庙 广东省茂名市信宜市丁堡镇大舍坡村 正一

146 怀乡大威关帝庙 广东省茂名市信宜市怀乡镇大威村 正一

147 怀乡扶禄盘古观 广东省茂名市信宜市怀乡扶德村 全真

148 怀乡太保庙 广东省茂名市信宜市怀乡镇平梅村 正一

149 文昌宫 广东省茂名市信宜市大成镇大田顶 全真

150 武帝庙 广东省茂名市信宜市北界镇旺将村 正一

151 信宜市大仁山八仙观 广东省茂名市信宜市东镇街道北逻村大仁山 全真

152 信宜市新里龙泉庙 广东省茂名市信宜市东镇街道新里村 正一

153 广福宫 广东省梅州市大埔县湖寮镇黎家坪村 全真

154 玉帝宫 广东省梅州市大埔县湖寮镇葵坑村口大路戈 全真

155 天后宫 广东省梅州市平远县仁居镇井下村 正一

156 真武庙 广东省梅州市平远县仁居镇城南村 正一

157 城隍庙 广东省梅州市五华县华城镇西门街1号 正一

158 公王宫 广东省梅州市五华县水寨镇员瑾村 正一

159 石古太王宫 广东省梅州市五华县转水镇蛇塘村 正一

160 太清宫 广东省梅州市五华县华城镇黄布村 正一

161 王老仙师宫 广东省梅州市五华县安流镇龙中村 正一

162 王爷宫 广东省梅州市五华县梅林镇甘屋村 正一

163 五显庙 广东省梅州市五华县梅林镇尖山村 正一

164 白鹤观 广东省梅州市兴宁市罗岗镇红旗村 正一

165 古坑宫 广东省梅州市兴宁市黄槐镇槐西村 正一

166 关帝庙 广东省梅州市兴宁市叶塘镇圩镇 正一

167 七星宫 广东省梅州市兴宁市大坪镇布骆村 正一

168 三清宫 广东省梅州市兴宁市宁新街道办横湖村 正一

169 圣帝宫 广东省梅州市兴宁市水口镇前锋村 正一

170 圣母宫 广东省梅州市兴宁市兴田街道办俄湖村 正一

171 石古大王宫 广东省梅州市兴宁市福兴街道办神光山 正一

172 王母宫 广东省梅州市兴宁市黄陂镇马甲寨 正一

173 五显宫 广东省梅州市兴宁市龙田镇凉伞村 正一

174 连州市清虚观 广东省清远市连州市保安镇静福山清虚观 正一

175 清远市金芝观 广东省清远市清城区东城清高公路5公里处 正一

176 清远市清城区龙塘北帝古庙 广东省清远市清城区龙塘镇新庄三嘉村 正一

177 清远市清新区明霞古洞明霞仙观 广东省清远市清新区太和镇迳口明霞古洞旅游 全真

178 清远市清新区太和古洞桃源仙观 广东省清远市清新区太和古洞旅游管理区内 全真

179 清远市紫云道观 广东省清远市清新区笔架山 正一

180 英德市江口咀庙 广东省清远市英德市连江口镇江口咀庙 正一

181 英德市金山祖庙 广东省清远市英德市大湾镇金山 正一

182 英德市英城西庙 广东省清远市英德市英城城西白楼村 正一

183 海棠古观 广东省汕头市潮阳区河溪镇中田村 全真

184 永觉古观 广东省汕头市潮阳区西胪镇泉塘乡大寨内 全真

185 玉龙宫 广东省汕头市潮阳区棉北街道平北居委上地 全真

186 地母娘娘宫 广东省汕头市金平区护堤路55号码头 全真

187 坤德观 广东省汕头市金平区石炮台街道华侨新村西区 全真

188 随缘居 广东省汕头市龙湖区珠池街道丹阳庄西三区阳 全真

189 汕尾市城区修善堂 广东省汕尾市城区凤山街道后寮三巷12-1 全真

190 汕尾市城区云山观 广东省汕尾市城区捷胜镇云山 正一

191 海丰县凤翔观 广东省汕尾市海丰县平东镇坑口村 全真

192 海丰县玉蟾宫 广东省汕尾市海丰县海城镇莲花村委莲花山度 全真

193 海丰县玉虚宫 广东省汕尾市海丰县公平镇新城社区 全真

194 慈云观 广东省汕尾市陆丰市潭西镇上埔村 全真

195 丰湖观 广东省汕尾市陆丰市南塘镇四柱湖 全真

196 观生观 广东省汕尾市陆丰市东海镇菜园东二巷5号 全真

197 浑成观 广东省汕尾市陆丰市潭西镇深港村委瑶池自然 全真

198 金龟祖庙 广东省汕尾市陆丰市甲西镇鱼池村  全真

199 乐善观 广东省汕尾市陆丰市甲西镇腰带石 全真

200 莲峰古庙 广东省汕尾市陆丰市南塘镇仙公埔 全真

201 通玄观 广东省汕尾市陆丰市金厢镇江梅山 全真

202 玉清宫 广东省汕尾市陆丰市甲子镇待渡山 全真

203 紫华观 广东省汕尾市陆丰市城东镇双山村 全真

204 紫竹观 广东省汕尾市陆丰市河西镇湖口大峰山 全真

205 南雄洞真古观 广东省南雄市梅岭镇钟鼓岩 正一

206 韶关仙居岩古观 广东省韶关市仁化县丹霞山 全真

207 广东省始兴县丹凤山道教玄妙观 广东省韶关市始兴县丹凤山公园 全真

208 韶关太傅庙 广东省韶关市浈江区东堤北路太傅街44号 全真

209 纯阳宫 广东省湛江市廉江市横山镇马蹄塘村 正一

210 侯王庙 广东省湛江市坡头区麻斜村 全真

211 三圣道观 广东省湛江市吴川市振文镇水口村委会 正一

212 圣贤宫 广东省湛江市吴川市长岐镇兰溪 正一

213 应善堂 广东省湛江市吴川市振文镇独竹村 正一

214 北帝观 广东省肇庆市德庆县凤村镇禄村玄龙山 正一

215 白沙龙母庙 广东省肇庆市端州区江滨西路龟顶山脚 正一

216 博罗县罗浮山九天观 广东省惠州市博罗县罗浮山兰石村 全真

217 紫竹观 广东省肇庆市广宁县南街镇本策村委会平头沙 正一

218 中山市道教港口天后宫 广东省中山市港口镇茂生路38号 全真



广 西（8所）
序号     宫观名称                       地址                                  派别

1 桂平市罗丛岩古雅道观 广西壮族自治区贵港市桂平市白沙镇罗丛岩 正一

2 桂平市白石山三清观 广西壮族自治区贵港市桂平市白石山三清观 正一

3 贵港市覃塘区樟木乡北帝庙道教活动点 广西壮族自治区贵港市覃塘区樟木乡 正一

4 桂林市白云观 广西壮族自治区桂林市叠彩区大河乡潘家村尧 全真

5 柳州市南评宫 广西壮族自治区柳州市鱼峰区驾鹤小桃源南坪 全真

6 六峰山北帝庙 广西壮族自治区钦州市灵山县六峰山风景名胜 正一

7 钦州市钦北区大寺北帝庙道教活动场所 广西壮族自治区钦州市大寺镇解放路 正一

8 钦州市钦南区康熙岭伏波庙 广西壮族自治区钦州市钦南区康熙岭镇横山村 正一 作者：巢谷师兄 https://www.bilibili.com/read/cv18524813?spm_id_from=333.999.0.0 出处：bilibili
