福 建（918座）



序号    宫观名称                                地址                              派别
96 福清渔溪英灵宫 福建省福州市福清市渔溪镇街尾虞阳西 正一

97 福清上迳院林宫 福建省福州市福清市上迳镇南湾村院林 正一

98 福清江镜柯峰妈祖宫 福建省福州市福清市江镜柯屿村 正一

99 福清江镜积庆境 福建省福州市福清市江镜镇积庆村 正一

100 福清江镜福临堂 福建省福州市江镜镇后周福临堂 正一

101 福清江镜龙岭宫 福建省福州市福清市江镜镇玉仑村 正一

102 福清江阴竹溪宫 福建省福州市福清市江阴镇下石村沙塘 正一

103 福清江镜越塘境 福建省福州市福清市江镜镇南宵村 正一

104 福清新厝绵山西宫 福建省福州市福清市新厝镇棉亭村 正一

105 福清圣跡庙 福建省福州市福清市新厝镇双屿村东隅 正一

106 福清三山元帅宫 福建省福州市福清市三山镇嘉儒村北陈 正一

107 福清江阴万寿堂 福建省福州市福清市江阴镇东井村高局 正一

108 福州河西神光元帅宫 福建省福州市鼓楼区乌山西路美景良辰后福三 正一

109 福州怡山平灵王宫 福建省福州市鼓楼区西洪路怡山巷1号 正一

110 福州洪山林真人庙 福建省福州市鼓楼区洪山桥上街291号 正一

111 福州于山九仙观 福建省福州市鼓楼区于山1号 正一

112 福州乌山吕祖宫 福建省福州市鼓楼区道山观7号 正一

113 福州福建都城隍庙 福建省福州市鼓楼区城隍街云步山巷8号 正一

114 福州裴仙宫 福建省福州市鼓楼区肃威路7号 正一

115 福州西山金牛洞张真人殿 福建省福州市福州总院后山象山隧道西边 正一

116 福州兴园慈善同心堂 福建省福州市鼓楼区乌山西路美景良辰后福三 正一

117 福州三坊七巷天后宫 福建省福州市鼓楼区郎官巷17号 正一

118 福州金鸡山南天照天君宫 福建省福州市晋安区金鸡山公园内 正一

119 福州东岳岭东岳庙 福建省福州市晋安区岳峰镇岳峰村东岳岭7号 正一

120 福州岳前东岳庙 福建省福州市晋安区岳峰镇岳峰村岳前78号 正一

121 福州溪口北山杨真君祖殿 福建省福州市晋安区岳峰镇鹤林村溪口82号 正一

122 福州溪口双溪庵五灵宫 福建省福州市晋安区岳峰镇鹤林村溪口143 正一

123 福州浦下东兴堂 福建省福州市晋安区岳峰镇浦下村101号 正一

124 福州康山庙 福建省福州市晋安区岳峰镇康山社区 正一

125 福州财神庙 福建省福州市晋安区新店镇西园村玄坛岭 正一

126 连江浦后宫 福建省福州市连江县东湖镇东湖村 正一

127 连江双虹观 福建省福州市连江县凤城镇玉山村 正一

128 连江大帝宫 福建省福州市连江县凤城镇青年路民主巷94 正一

129 连江五显宫 福建省福州市连江县丹阳镇丹阳街 正一

130 连江城隍庙 福建省福州市连江县筱埕镇定海村 正一

131 连江尚书宫 福建省福州市连江县黄岐镇海英街 正一

132 连江小沧龙宫庙 福建省福州市连江县小沧乡东风村 正一

133 连江东岱演宫 福建省福州市连江县东岱镇东岱街演宫路 正一

134 连江三仙观 福建省福州市连江县透堡镇北街村 正一

135 连江元帅府 福建省福州市连江县凤城镇816东路215 正一

136 连江关公亭 福建省福州市连江县凤城镇玉山村 正一

137 连江马鼻北云山道堂 福建省福州市连江县马鼻镇横厝村 正一

138 连江南湖太极观 福建省福州市连江县江南乡魁岐村 正一

