甘 肃（615所）


序号 宫观名称 地址 派别
81 红古区平安镇永乐宫 甘肃省兰州市红古区平安镇张家寺村 全真

82 七里河区极寿山祖师殿 甘肃省兰州市七里河区崔家崖村东堡子山头 全真

83 七里河区崔家崖上白云观 甘肃省兰州市七里河区崔家崖村 全真

84 七里河区八里镇药王洞 甘肃省兰州市七里河区八里镇五里铺87号 全真

85 七里河区金天观 甘肃省兰州市七里河区华林路1号 全真

86 七里河区落安山金花宫 甘肃省兰州市七里河区魏岭乡海家岭村 全真

87 七里河区牟家坪观音殿 甘肃省兰州市七里河区彭家坪镇牟家坪村 全真

88 七里河区土门墩圣母宫 甘肃省兰州市七里河区彭家坪镇土门墩村 全真

89 七里河区双龙观 甘肃省兰州市七里河区八里镇二十里铺村 全真

90 西固区坡底下祖师殿 甘肃省兰州市西固区东川镇坡底下村 全真

91 西固区陈坪街道方神庙 甘肃省兰州市西固区陈坪街道小坪村土沟洼 全真

92 西固区四季青街道天王庙 甘肃省兰州市西固区四季青街道光月山村 全真

93 西固区达川祖师殿 甘肃省兰州市西固区达川乡 全真

94 西固区陈坪街道纯阳宫 甘肃省兰州市西固区陈坪街道范坪村 全真

95 西固区柳泉乡土主庙 甘肃省兰州市西固区柳泉乡歇家坡 全真

96 西固区陈坪街道东湾祖师殿 甘肃省兰州市西固区陈坪街道东湾村 全真

97 西固区临洮街城隍庙 甘肃省兰州市西固区临洮街街道寺儿沟社区 全真

98 西固区东川镇玄女庙 甘肃省兰州市西固区东川镇东河湾村 全真

99 西固区新城镇金花仙姑大殿 甘肃省兰州市西固区新城镇园艺村 全真

100 西固区新城镇老君庙 甘肃省兰州市西固区新城镇新联村 全真

101 西固区新城镇菩萨殿 甘肃省兰州市西固区新城镇青春村  全真

102 西固区桃园村圣母宫 甘肃省兰州市西固区桃园村 全真

103 永登县城关镇仁寿山全真观 甘肃省兰州市永登县城关镇南街村 全真

104 永登县城关镇香炉山全真观 甘肃省兰州市永登县城关镇高家湾村 全真

105 永登县清泉山全台观 甘肃省兰州市永登县通远乡青岭村  全真

106 永登县城关镇青龙观 甘肃省兰州市永登县城关镇青龙山公园 全真

107 榆中县龙泉寺圣母殿 甘肃省兰州市榆中县龙泉乡骡子滩村 全真

108 榆中县兴隆山道观 甘肃省兰州市榆中县兴隆山 全真

109 榆中县万眼泉王母宫 甘肃省兰州市榆中县定远镇冯家湾村 全真

110 榆中县青城城隍庙 甘肃省兰州市榆中县青城镇青城村 全真

112 榆中县云雾山关帝庙 甘肃省兰州市榆中县和平镇高家营村 全真

113 榆中县牡丹园道观 甘肃省兰州市榆中县和平镇和平村 全真

114 榆中县麻家寺龙王庙 甘肃省兰州市榆中县连搭乡麻家寺村  全真

115 榆中县新营龙王庙 甘肃省兰州市榆中县新营乡罗景村 全真

116 榆中县官滩沟菩萨殿 甘肃省兰州市榆中县和平镇菜子山村 全真

117 成县鸡峰山药王宫道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

118 成县城关金石殿道观 甘肃省陇南市成县城关镇龙峡村 全真

119 成县鸡峰山龙洞道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

120 成县鸡峰山瑶池宫道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

121 成县鸡峰山地母宫道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

122 成县鸡峰山老君殿道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

123 成县鸡峰山灵官殿道观 甘肃省陇南市成县鸡峰镇朝霞村 全真

124 成县红川甸山道观 甘肃省陇南市成县红川镇席郝村 全真

125 成县城关泰山庙道观 甘肃省陇南市成县城关镇李武村 全真

126 宕昌县城关泰山庙 甘肃省陇南市宕昌县城关镇旧城村 全真

127 徽县嘉陵镇铁山庙 甘肃省陇南市徽县嘉陵镇铁山村 全真

125 嘉陵镇火焰山庙 甘肃省陇南市徽县嘉陵镇庙垭村 全真

129 银杏乡祁连山庙 甘肃省陇南市徽县银杏乡马山村 全真

130 高桥乡青龙观庙 甘肃省陇南市徽县高桥乡高桥村 全真

131 柳林镇青阳山庙 甘肃省陇南市徽县柳林镇洛坝村 全真

132 水阳乡泰山庙 甘肃省陇南市徽县水阳乡泰山村 全真

133 庙花山道观 甘肃省陇南市康县云台镇全坝村 全真

134 东岳山道观 甘肃省陇南市康县大堡镇黄山村 全真

135 礼县大香山观 甘肃省陇南市礼县雷坝乡朱雀村 全真

136 礼县翠峰观 甘肃省陇南市礼县城关镇王林村 全真

137 礼县长生观 甘肃省陇南市礼县城关镇祁窑村 全真

138 礼县祁山武侯祠 甘肃省陇南市礼县祁山乡祁山村 全真

139 两当县左家泰山庙 甘肃省陇南市两当县左家乡大庄村 全真

140 两当县兴隆山关帝庙 甘肃省陇南市两当县显龙乡白崖村 全真

141 两当县张果老登真洞 甘肃省陇南市两当县杨店乡灵官店村 全真

142 武都区龙凤乡祖师殿 甘肃省陇南市武都区龙凤乡大阳山村 全真

143 武都区五凤山平顶观 甘肃省陇南市武都区城关镇殿沟村 全真

144 武都区五凤山新殿子 甘肃省陇南市武都区城关镇殿沟村 全真

145 武都区五凤山一天门 甘肃省陇南市武都区城关镇殿沟村 全真

146 武都区五凤山真武观 甘肃省陇南市武都区马街镇姜家山村 全真

147 武都区五凤山三天门 甘肃省陇南市武都区马街镇姜家山村 全真

148 武都区五凤山凤柏殿 甘肃省陇南市武都区城关镇殿沟村 全真

149 武都区五凤山净身殿 甘肃省陇南市武都区城关镇殿沟村 全真

150 武都区五凤山二天门 甘肃省陇南市武都区城关镇殿沟村 全真

151 武都区汉王镇终南山道观 甘肃省陇南市武都区汉王镇文子山村 全真

152 武都区两水泰山宫 甘肃省陇南市武都区两水镇前村 全真

153 武都区三河清平观 甘肃省陇南市武都区三河镇崖寺儿村 全真

154 武都区两水后村祖师殿 甘肃省陇南市武都区两水镇后村  全真

155 武都区桑家湾祖师殿 甘肃省陇南市武都区城郊乡桑家湾村 全真

156 武都区汉王祖师殿 甘肃省陇南市武都区汉王镇汉王村 全真

157 武都区石门三官殿 甘肃省陇南市武都区石门乡下白杨村 全真

158 西和县岷郡山萨祖殿 甘肃省陇南市西和县汉源镇孟磨村 全真

159 西和县朝阳观 甘肃省陇南市西和县汉源镇朝阳村 全真

160 华亭县安口镇娘娘庙 甘肃省平凉市华亭县安口镇安丰村 正一

161 华亭县策底镇蛟龙寺 甘肃省平凉市华亭县策底镇策底村 正一

162 华亭县东华镇药王洞 甘肃省平凉市华亭县东华镇西关村 全真

163 泾川县王母宫道教活动场所 甘肃省平凉市泾川县城关镇延风村 全真

164 静宁县西关城隍庙 甘肃省平凉市静宁县城关镇西关村 正一

165 崆峒镇太统山道观 甘肃省平凉市崆峒区鸭儿沟村太统山顶 正一

166 平凉工业园区东岳庙道观 甘肃省平凉市崆峒区平凉工业园区米家湾村三 全真

167 崆峒镇龙隐寺道观 甘肃省平凉市崆峒区崆峒镇官庄村 全真

168 白水镇祖师庙道观 甘肃省平凉市崆峒区白水镇打虎村 全真

169 崆峒镇崆峒山道教宫观 甘肃省平凉市崆峒区崆峒山 全真

170 平凉工业园区四十里铺镇清福山道观 甘肃省平凉市崆峒区四十里铺镇清街村 全真

171 太白庙 甘肃省平凉市灵台县枣林湾社  正一

172 经龙寺 甘肃省平凉市灵台县庙上社 正一

173 庄浪县紫荆山  甘肃省平凉市庄浪县水洛镇西关村南巷子 全真

174 环县聚仙观 甘肃省庆阳市环县四合原旅游开发办公室四合 全真

175 庆城县天庆观 甘肃省庆阳市庆城县周祖陵景区管理所 全真

176 西峰区贞五观 甘肃省庆阳市西峰区董志镇陈户胡同赵村 全真

177 天齐宫 甘肃省天水市甘谷县武家河乡白杨树村 全真

178 磐龙山永福宫 甘肃省天水市甘谷县磐安镇谢家坪村 全真

179 菜园寺 甘肃省天水市甘谷县安远镇后家坪村大湾组 全真

180 山华峒山 甘肃省天水市甘谷县安远镇史川村二组 全真

181 沐浴山元君庙 甘肃省天水市甘谷县磐安镇榆林坪村 全真

182 尖山寺 甘肃省天水市甘谷县武家河乡朱沟村 全真

183 道德观 甘肃省天水市甘谷县礼辛乡下街村 全真

184 泰山庙 甘肃省天水市甘谷县礼辛乡冯山村 全真

185 玉兰宫 甘肃省天水市甘谷县新兴镇渭水峪村下庄 全真

186 启龙山 甘肃省天水市甘谷县武家河乡枣红峪村 全真

187 神蜂寺 甘肃省天水市甘谷县大庄乡芦家湾村  全真

188 青龙寺 甘肃省天水市甘谷县六峰镇石滩村  全真

189 玄龙山 甘肃省天水市甘谷县武家河乡武家堡村 全真

190 觉皇寺 甘肃省天水市甘谷县六峰镇觉皇寺村 全真

191 天齐宫 甘肃省天水市甘谷县武家河乡石庙咀村 全真

192 梅林观 甘肃省天水市甘谷县金山乡郑家山村 全真

193 顺金寺 甘肃省天水市甘谷县新兴镇小王家村 全真

194 香台山 甘肃省天水市甘谷县安远镇西城村  全真

195 白衣寺 甘肃省天水市甘谷县金山乡金山村 全真

196 福庆宫 甘肃省天水市甘谷县新兴镇盘石村 全真

197 九龙观 甘肃省天水市甘谷县大庄乡大庄村 全真

198 太坪山东岔泰山庙 甘肃省天水市甘谷县谢家湾乡转地村一组 全真

199 见龙山 甘肃省天水市甘谷县磐安镇四十铺村一组 全真

200 东岳宫 甘肃省天水市甘谷县大像山镇西关社区 全真

201 圣母宫 甘肃省天水市甘谷县新兴镇崔家村一组 全真

202 青龙观 甘肃省天水市甘谷县新兴镇杨家庄村一组 全真

203 中岳寺 甘肃省天水市甘谷县大石乡贯寺村一组 全真

204 娘娘庙 甘肃省天水市麦积区甘泉镇小庄村二组 全真

205 玉皇观 甘肃省天水市麦积区花牛镇松家山村松家组 全真

206 五阳观  甘肃省天水市麦积区伯阳镇石门村二组 全真

207 南武观 甘肃省天水市麦积区花牛镇曹家埂村 全真

208 真武观 甘肃省天水市麦积区石佛乡石崖村一组 全真

209 杏林观 甘肃省天水市麦积区麦积镇街亭村一组 全真

210 五龙山 甘肃省天水市麦积区三岔乡兴岔村一组 全真

211 城隍庙 甘肃省天水市麦积区三岔乡吴寨村三组 全真

212 柏林观 甘肃省天水市麦积区三岔乡太碌村一组 全真

213 泰山庙 甘肃省天水市麦积区新阳镇习西村二组 全真

214 泰山庙 甘肃省天水市麦积区甘泉镇包沟村一组 全真

215 净乐宫 甘肃省天水市麦积区甘泉镇云雾村七组 全真

216 金龙山 甘肃省天水市麦积区东岔镇立远村二组 全真

217 观音山 甘肃省天水市麦积区东岔镇土桥村四组 全真

218 威堡观 甘肃省天水市秦城区汪川镇汪川村 全真

219 娘娘庙 甘肃省天水市秦城区汪川镇汪川村 全真

220 宝峰山 甘肃省天水市秦城区牡丹镇辛家山村 全真

221 佛崆桥 甘肃省天水市秦城区太京镇二十铺村 全真

222 泰山庙 甘肃省天水市秦城区玉泉镇左家场 全真

223 玉泉观 甘肃省天水市秦城区中诚街道办事处伊民巷社 全真

224 玉香观 甘肃省天水市秦城区太京镇董家磨村 全真

225 香山观 甘肃省天水市秦城区玉泉镇瓦窑坡村 全真

226 老君庙 甘肃省天水市秦城区玉泉镇暖和湾村 全真

227 武当山 甘肃省天水市清水县草川乡刘庄村二组 全真

228 清平观 甘肃省天水市清水县白沙乡元坪村一组 全真

229 吕阳寺 甘肃省天水市清水县草川乡尖坪村一组 全真

230 九台山 甘肃省天水市清水县黄门乡小河村一组 全真

231 葡萄寺 甘肃省天水市清水县新城乡谢山村二组 全真

232 太白庙 甘肃省天水市清水县红堡镇太坪村一组 全真

233 庞公庵 甘肃省天水市清水县红堡镇安坪村四组 全真

234 城隍庙 甘肃省天水市清水县永清镇义坊村一组 全真

235 红崖观 甘肃省天水市清水县永清镇丰盛村二组 全真

236 杏林堡 甘肃省天水市清水县松树乡刘湾村二组 全真

237 四龙堡 甘肃省天水市清水县松树乡大庄村一组 全真

