江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
79 进贤县龙马祖庙 江西省南昌市进贤县梅庄镇滨湖村委会西后家 正一

80 进贤县付老古庙 江西省南昌市进贤县文港镇新坪村委会新坪村 正一

81 进贤县潭头庙 江西省南昌市进贤县李渡镇大桥村委会吴坊村 正一

82 安义县神龙宫 江西省南昌市安义县新民乡塘边村 正一

83 安义县五显殿 江西省南昌市安义县东阳镇徐埠村 正一

84 安义县天元宫 江西省南昌市安义县石鼻镇赤石村赤一组 正一

85 东湖区王安郭公庙 江西省南昌市东湖区七里王安村4号 正一

86 东湖区三郭庙 江西省南昌市东湖区长巷村谌家坊村 正一

87 青云谱区樜王庙 江西省南昌市青云谱区石马村 正一

88 青云谱区晏公庙 江西省南昌市青云谱区前万村 正一

89 青山湖区南行军古庙 江西省南昌市青山湖区罗家镇慈母村 正一

90 青山湖区北行军古庙 江西省南昌市青山湖区罗家镇慈母村 正一

91 青山湖区净明道院 江西省南昌市青山湖区昌东工业区沈桥村 正一

92 青山湖区东岳古庙 江西省南昌市青山湖区昌东工业区京川村 正一

93 青山湖区三阳观 江西省南昌市青山湖区湖坊镇长春村317号 正一

94 青山湖区东行军庙 江西省南昌市青山湖区罗家镇慈母村 正一

95 青山湖区四真坛 江西省南昌市青山湖区罗家镇胡坊村 正一

96 青山湖区关帝庙 江西省南昌市青山湖区昌东工业区义坊村 正一

97 青山湖区慈母万寿宫 江西省南昌市青山湖区罗家镇慈母村 正一

98 青山湖区白马庙 江西省南昌市青山湖区昌东工业区京川村 正一

99 青山湖区大圣庙 江西省南昌市青山湖区罗家镇赵坊村 正一

100 青山湖区白兰村白马庙 江西省南昌市青山湖区罗家镇白兰村 正一 

101 青山湖区福主庙 江西省南昌市青山湖区罗家镇棠溪村北熊村 正一

102 青山湖区华光古庙 江西省南昌市青山湖区京东镇联胜村 正一

103 青山湖区聂公庙 江西省南昌市青山湖区罗家镇胡坊村 正一

104 青山湖区坝桥天花宫 江西省南昌市青山湖区罗家镇坝桥村 正一

105 青山湖区罗家古庙 江西省南昌市青山湖区罗家镇罗家村 正一

106 湾里区阳灵观 江西省南昌市湾里区梅岭镇向阳林场 正一

107 经开区青岚天花宫 江西省南昌市南昌经开区蛟桥镇青岚村 正一

108 经开区东岳庙 江西省南昌市南昌经开区蛟桥镇枫景村 正一

109 经开区吴源庙 江西省南昌市南昌经开区白水湖管理处蛟桥村 正一

110 经开区七星庙 江西省南昌市南昌经开区蛟桥镇双岭村 正一

111 经开区关公庙 江西省南昌市南昌经开区蛟桥镇下罗村 正一

