江 西 省 道 观 大 全
序号   宫派名称             地址                       派别
351 芦溪县银凤仙山 江西省萍乡市芦溪县银河镇京竹村银凤岭 正一

352 芦溪县高楼龙王庙 江西省萍乡市芦溪县芦溪镇高楼村 正一

353 芦溪县小江龙王庙 江西省萍乡市芦溪县芦溪镇古城管理处小江背 正一

354 芦溪县葛溪龙王庙 江西省萍乡市芦溪县芦溪镇高楼村大山窝 正一

355 芦溪县太公庙 江西省萍乡市芦溪县芦溪镇潭田村 正一

356 芦溪县沈公庙 江西省萍乡市芦溪县芦溪镇潭田村 正一

357 芦溪县最灵寺 江西省萍乡市芦溪县芦溪镇丰泉村石坑 正一

